subject_id,epoch,label,mean_2,std_2,variance_2,skew_2,kurtosis_2,rms_2,zcr_2,delta_power_2,delta_relative_power_2,theta_power_2,theta_relative_power_2,alpha_power_2,alpha_relative_power_2,beta_power_2,beta_relative_power_2,gamma_power_2,gamma_relative_power_2,hjorth_activity_2,hjorth_mobility_2,hjorth_complexity_2,perm_entropy_2,approx_entropy_2,sample_entropy_2,shannon_entropy_2,stft_mean_power_2,wavelet_mean_power_2,higuchi_fd_2,hurst_exponent_2,lyapunov_exponent_2
healthy1,0,0,-3.06773743e-07,9.96251391e-06,9.92516834e-11,-0.16618934,0.74572666,9.967236e-06,0.04127604,7.65495972e-12,0.22803472,8.17475801e-12,0.24351906,8.378176e-12,0.24957871,1.39204237e-11,0.41467754,1.06588754e-12,0.03175188,9.92516834e-11,0.14682592,1.53483364,0.58455003,0.52580732,0.419105,3.87613898,2.1529059504334946e-07,1.0034023544517384e-05,0.876665041455773,0.1939508597390139,0.045492499398441
healthy1,1,0,1.37127839e-07,1.263631e-05,1.5967633e-10,5.61822425e-05,2.74503629,1.2637054e-05,0.03346354,1.98037968e-11,0.51151522,8.80359349e-12,0.22738933,4.80244192e-12,0.12404299,9.37869763e-12,0.24224378,7.26620896e-13,0.018768,1.5967633e-10,0.09622172,2.17979555,0.58258705,0.38388123,0.2943424,3.25281528,2.1862657241065923e-07,8.319342433538005e-06,0.8787545501172702,0.5732921141190059,0.0454914804666984
healthy1,2,0,-6.6004994e-08,1.21001938e-05,1.46414689e-10,-1.0777606,8.23853813,1.21003738e-05,0.0311849,1.51670604e-11,0.52160658,6.63081233e-12,0.22803861,3.94189613e-12,0.13556476,6.85831829e-12,0.23586271,7.2776372e-13,0.02502834,1.46414689e-10,0.08680223,2.30040326,0.57927068,0.30796334,0.23045802,3.2335138,1.882525953300428e-07,6.986836646103474e-06,0.8792607100792277,0.3686870346749257,0.0466846384549914
healthy1,3,0,-5.48111788e-08,1.80116673e-05,3.24420158e-10,-0.30303397,1.42493498,1.80117507e-05,0.02252604,2.38084571e-11,0.55607541,8.47913027e-12,0.19804038,4.45034617e-12,0.10394324,9.71980882e-12,0.22701793,5.51233559e-13,0.01287473,3.24420158e-10,0.06655303,3.01649736,0.57152941,0.23457956,0.15141777,3.04803762,2.573080466433152e-07,8.096952009801299e-06,0.8935478524589479,0.7860225248464593,0.0494367080633523
healthy1,4,0,-1.40988594e-08,1.35120129e-05,1.82574491e-10,0.04532317,3.40541799,1.35120202e-05,0.03802083,1.61689084e-11,0.39044574,8.07338833e-12,0.19495565,6.78592166e-12,0.16386599,1.44719e-11,0.34946649,8.86392982e-13,0.02140456,1.82574491e-10,0.10788826,2.06018162,0.57789067,0.38026656,0.23714574,3.57875401,2.2815529061192962e-07,8.885913636071636e-06,0.8817060519440977,0.8994361336876352,0.0458176019125912
healthy1,5,0,-4.95983037e-08,4.87251799e-06,2.37414315e-11,0.13740381,0.40473487,4.87277042e-06,0.0421224,2.03654043e-12,0.20756689,3.53937372e-12,0.36073765,4.10377622e-12,0.4182623,2.4802247e-12,0.25278778,1.49259132e-13,0.01521269,2.37414315e-11,0.13116189,1.00594317,0.56740681,0.52891731,0.45594541,3.55351755,1.075129158075118e-07,5.905140073650721e-06,0.9055685211299376,0.4164341249210127,0.0485133611397441
healthy1,6,0,5.56117886e-08,6.20067082e-06,3.84483186e-11,-0.27486194,3.80268171,6.20092019e-06,0.03919271,3.35010862e-12,0.23389196,3.9485065e-12,0.27566984,5.0204801e-12,0.350511,4.66398587e-12,0.32562192,3.03723608e-13,0.02120484,3.84483186e-11,0.14039392,1.19063923,0.56063315,0.45774133,0.37950393,3.69816235,1.233402882889999e-07,6.634196435063274e-06,0.910302265787778,0.4197635429342323,0.0497461900104281
healthy1,7,0,7.50724104e-09,4.41097431e-06,1.94566944e-11,0.02062776,-0.11332734,4.4109807e-06,0.03834635,1.48723278e-12,0.18523532,2.9533315e-12,0.3678384,4.48372583e-12,0.55844951,1.30716046e-12,0.16280726,3.74570566e-14,0.00466529,1.94566944e-11,0.11690214,0.81033279,0.54592208,0.502004,0.44386944,3.24347261,9.284701819264589e-08,5.65928231783896e-06,0.9333601173344536,0.2405311087292833,0.0520716557497022
healthy1,8,0,-5.72057123e-08,3.98120777e-06,1.58500153e-11,0.32772588,0.61389067,3.98161874e-06,0.0374349,1.42624097e-12,0.21676804,2.75473794e-12,0.4186804,3.29125005e-12,0.5002225,1.19136581e-12,0.1810704,2.84623922e-14,0.00432587,1.58500153e-11,0.11488115,0.77794339,0.55312117,0.49318965,0.43095599,3.24473252,8.389024943739072e-08,5.103490382226573e-06,0.9284964856856088,0.4487808442498602,0.051997882847597
healthy1,9,0,5.51169918e-08,3.99530292e-06,1.59624454e-11,-0.12500778,0.67346432,3.99568309e-06,0.03671875,1.6986041e-12,0.28310057,2.24436592e-12,0.37406083,2.01007732e-12,0.33501275,1.55919406e-12,0.25986557,6.93245276e-14,0.01155408,1.59624454e-11,0.12159097,0.89931578,0.56180429,0.48972965,0.4083306,3.56622682,8.528378548315962e-08,4.791483172824467e-06,0.91044119776305,0.2896855734255804,0.0514732717122494
healthy1,10,0,6.21304527e-08,4.76009995e-06,2.26585515e-11,0.09900383,0.95568122,4.7605054e-06,0.03606771,2.66279639e-12,0.35556469,2.67815382e-12,0.35761537,2.41757632e-12,0.32282031,1.49816613e-12,0.20005096,6.07026604e-14,0.00810566,2.26585515e-11,0.10474845,1.02321917,0.56420552,0.44978528,0.38071033,3.40204787,9.72765837013721e-08,5.118035450369247e-06,0.9090541085406124,0.480253860886261,0.0511515286961953
healthy1,11,0,-9.34225424e-08,4.96889304e-06,2.46898981e-11,0.07384485,0.1212477,4.96977121e-06,0.03476563,1.91416593e-12,0.26795138,2.65108896e-12,0.37110835,2.62658899e-12,0.36767876,1.81024654e-12,0.2534044,1.19264598e-13,0.01669506,2.46898981e-11,0.10964464,1.10675734,0.57233521,0.47444567,0.41472897,3.55075882,1.0595477352342248e-07,5.24760402218836e-06,0.8996979980665752,0.402155250691021,0.0496517038517068
healthy1,12,0,1.03072912e-08,4.20655408e-06,1.76950972e-11,0.13472876,0.19882507,4.20656671e-06,0.03658854,2.25577179e-12,0.38309321,1.84074009e-12,0.31260921,1.54447631e-12,0.26229532,1.32959022e-12,0.22580165,6.46328288e-14,0.01097646,1.76950972e-11,0.10750882,0.95826793,0.56976607,0.47214911,0.41233684,3.47051603,8.757950848086298e-08,4.45959437813696e-06,0.9017132142512716,0.1262183464126718,0.0505135964603126
healthy1,13,0,9.72558467e-09,5.71971619e-06,3.27151533e-11,0.09123173,2.68764243,5.71972446e-06,0.03476563,2.8994404e-12,0.33040485,2.66810828e-12,0.30404347,2.3130298e-12,0.26358061,2.54835687e-12,0.29039723,1.70937845e-13,0.01947917,3.27151533e-11,0.10772287,1.2645857,0.57243602,0.4187403,0.34007673,3.62522063,1.0961004607818365e-07,5.202017177047897e-06,0.897868293008766,0.6901383355907895,0.0485339236860516
healthy1,14,0,5.69434998e-09,4.04244105e-06,1.63413297e-11,0.02134059,0.00794200896,4.04244506e-06,0.03723958,1.53214864e-12,0.26513173,2.21583641e-12,0.38344095,2.2895801e-12,0.39620198,1.30992267e-12,0.22667648,6.14953859e-14,0.01064151,1.63413297e-11,0.11163906,0.87928085,0.56707153,0.48632082,0.41844006,3.44658788,8.571315507645449e-08,4.812559053179175e-06,0.9109656979309982,0.4449240358032724,0.0510915227754921
healthy1,15,0,-1.22242449e-08,4.00164747e-06,1.60131825e-11,0.17845678,0.78198821,4.00166614e-06,0.03658854,1.99529802e-12,0.35486545,1.76740889e-12,0.31433517,1.60774163e-12,0.28593822,1.34404418e-12,0.2390394,4.04647131e-14,0.00719668,1.60131825e-11,0.10983221,0.87728624,0.5668203,0.4769288,0.41014151,3.50147994,8.365441644184149e-08,4.461904637671604e-06,0.9095662057187192,0.5419108425535673,0.0514639729182689
healthy1,16,0,-4.7532736e-09,4.00933007e-06,1.60747276e-11,0.04277196,0.33011418,4.00933289e-06,0.03697917,2.19721701e-12,0.3499989,2.02944905e-12,0.32327482,1.96250383e-12,0.31261099,1.30619571e-12,0.20806641,3.69483715e-14,0.00588558,1.60747276e-11,0.11247893,0.85088312,0.56440168,0.48753055,0.41610996,3.46400112,8.509298701418617e-08,4.7316199096972604e-06,0.913821020446972,0.2958504920114304,0.0523003856388748
healthy1,17,0,1.27112466e-07,5.5685871e-06,3.10091623e-11,0.5951138,3.50616345,5.57003769e-06,0.03561198,2.1739351e-12,0.28853964,2.56237177e-12,0.34009563,2.56361054e-12,0.34026005,1.92602141e-12,0.25563483,8.10792664e-14,0.0107614,3.10091623e-11,0.09851475,1.18356277,0.56350432,0.40351024,0.34201263,3.52751141,1.0196405075395805e-07,5.061778033495757e-06,0.9102441706583806,0.7297473448603323,0.0504654747183297
healthy1,18,0,-1.09189909e-07,4.10603509e-06,1.68595242e-11,-0.06167841,0.71451917,4.10748665e-06,0.03678385,1.57670391e-12,0.28971154,1.99037253e-12,0.36572111,2.08623319e-12,0.38333503,1.15095696e-12,0.21148265,4.97024992e-14,0.00913259,1.68595242e-11,0.10588953,0.90219479,0.56181258,0.46569839,0.40636056,3.46512246,8.593253185934458e-08,4.646717323624693e-06,0.911790688294908,0.1248928023431434,0.0497767336457289
